"commit","subject","status","files"
"20721aac711e32cf8171fd791488aa0a9f85c0a8","Dangerous Clipboards","needs-review","gradle.properties;src/main/java/com/simibubi/create/content/equipment/potatoCannon/PotatoCannonItem.java;src/main/java/com/simibubi/create/content/logistics/item/filter/attribute/ItemAttribute.java;src/main/java/com/simibubi/create/content/logistics/item/filter/attribute/attributes/ItemNameAttribute.java;src/main/java/com/simibubi/create/content/logistics/packagePort/PackagePortBlockEntity.java;src/main/java/com/simibubi/create/content/logistics/packager/PackagerBlockEntity.java;src/main/java/com/simibubi/create/content/redstone/nixieTube/NixieTubeBlockEntity.java;src/main/java/com/simibubi/create/content/schematics/SchematicProcessor.java;src/main/java/com/simibubi/create/content/trains/display/FlapDisplayBlockEntity.java;src/main/java/com/simibubi/create/content/trains/display/FlapDisplayLayout.java;src/main/java/com/simibubi/create/content/trains/display/FlapDisplaySection.java;src/main/java/com/simibubi/create/foundation/CreateNBTProcessors.java"
"01dc542ca136b38ad86ffc296dc3806b883840a4","Bump version","needs-review","gradle.properties"
"24d85178d1ef37e8cb2e837ca6e69d3c84516718","Update silk","needs-review","build.gradle"
"787f809deb50ee478787212cccff9952a0c5b7fc","fix floating point issues within GantryContraptionEntity (#9481)","needs-review","src/main/java/com/simibubi/create/content/contraptions/gantry/GantryContraptionEntity.java"
"11f59c9a304f4b2bfc1ccf01f6737a278379a32a","Revert ""Update silk""","needs-review","build.gradle"
"b8a9a21532e95e5aa587e1deb2be9dbaa484516d","Reapply ""Update silk""","needs-review","build.gradle"
"dd133f667969870dd6e9b96395097ac93cd91ced","Deployed","needs-review","src/main/java/com/simibubi/create/content/kinetics/deployer/DeployerBlock.java"
"f741b5b86e6e474fcb0de0aeb9286565f9b73c6c","Fix schematics sticking around after instant placement (#9494)","needs-review","src/main/java/com/simibubi/create/content/schematics/client/SchematicHandler.java"
"710d5d612cca4f57814612072fbe72d4f08f8664","Chunked","needs-review","src/main/java/com/simibubi/create/foundation/virtualWorld/VirtualRenderWorld.java"
"6409450e032339057ac7166992f3134db972e49e","Bouncy Seats","needs-review","src/main/java/com/simibubi/create/content/contraptions/actors/seat/SeatBlock.java;src/main/java/com/simibubi/create/foundation/mixin/EntityMixin.java;src/main/java/com/simibubi/create/foundation/mixin/MapItemSavedDataMixin.java;src/main/java/com/simibubi/create/foundation/mixin/PlayerMixin.java;src/main/java/com/simibubi/create/foundation/mixin/client/CameraMixin.java;src/main/java/com/simibubi/create/foundation/mixin/compat/xaeros/XaeroFullscreenMapMixin.java;src/main/java/com/simibubi/create/foundation/mixin/compat/xaeros/XaeroPauseScreenOverrideMixin.java;src/main/java/com/simibubi/create/foundation/mixin/datafixer/BlockPosFormatAndRenamesFixMixin.java"
"b91757a3a55205e9888e70fb5cb5c2380b4724c7","Cold nights","needs-review","src/main/java/com/simibubi/create/compat/computercraft/implementation/peripherals/NixieTubePeripheral.java;src/main/java/com/simibubi/create/content/redstone/link/RedstoneLinkBlock.java;src/main/java/com/simibubi/create/content/redstone/nixieTube/NixieTubeBlock.java;src/main/java/com/simibubi/create/content/schematics/SchematicPrinter.java;src/main/java/com/simibubi/create/content/trains/graph/TrackNodeLocation.java"
"eda49cb096000ce588902c51da57fc20b7fb69b9","Bump flywheel build, use new materialFunc methods","needs-review","gradle.properties;src/main/java/com/simibubi/create/content/contraptions/render/ContraptionVisual.java;src/main/java/com/simibubi/create/foundation/render/SpecialModels.java"
